Gene_name	Gene_ID	First_design	Original_name	Type
FH	ENSG00000091483	IMPACT-341	FH	Suppressor
FLCN	ENSG00000154803	IMPACT-341	FLCN	Suppressor
FLT1	ENSG00000102755	IMPACT-341	FLT1	Oncogene
FLT3	ENSG00000122025	IMPACT-341	FLT3	Oncogene
FLT4	ENSG00000037280	IMPACT-341	FLT4	Oncogene
FOXA1	ENSG00000129514	IMPACT-341	FOXA1	Others
FOXL2	ENSG00000183770	IMPACT-341	FOXL2	Others
FOXO1	ENSG00000150907	IMPACT-410	FOXO1	Suppressor
FOXP1	ENSG00000114861	IMPACT-341	FOXP1	Others
FUBP1	ENSG00000162613	IMPACT-341	FUBP1	Suppressor
FYN	ENSG00000010810	IMPACT-410	FYN	Oncogene
GATA1	ENSG00000102145	IMPACT-341	GATA1	Others
GATA2	ENSG00000179348	IMPACT-341	GATA2	Oncogene
GATA3	ENSG00000107485	IMPACT-341	GATA3	Others
GLI1	ENSG00000111087	IMPACT-410	GLI1	Oncogene
GNA11	ENSG00000088256	IMPACT-341	GNA11	Oncogene
GNAQ	ENSG00000156052	IMPACT-341	GNAQ	Oncogene
GNAS	ENSG00000087460	IMPACT-341	GNAS	Oncogene
GPS2	ENSG00000132522	IMPACT-410	GPS2	Suppressor
GREM1	ENSG00000166923	IMPACT-341	GREM1	Oncogene
GRIN2A	ENSG00000183454	IMPACT-341	GRIN2A	Suppressor
GSK3B	ENSG00000082701	IMPACT-341	GSK3B	Oncogene
H3-3A	ENSG00000163041	IMPACT-410	H3F3A	Oncogene
H3-3B	ENSG00000132475	IMPACT-410	H3F3B	Others
H3-5	ENSG00000188375	IMPACT-341	H3F3C	Others
HGF	ENSG00000019991	IMPACT-341	HGF	Oncogene
H1-2	ENSG00000187837	IMPACT-341	HIST1H1C	Others
H2BC5	ENSG00000158373	IMPACT-341	HIST1H2BD	Others
H3C1	ENSG00000275714	IMPACT-410	HIST1H3A	Others
H3C2	ENSG00000286522	IMPACT-341	HIST1H3B	Others
H3C3	ENSG00000287080	IMPACT-410	HIST1H3C	Others
H3C4	ENSG00000197409	IMPACT-410	HIST1H3D	Others
H3C6	ENSG00000274750	IMPACT-410	HIST1H3E	Others
H3C7	ENSG00000277775	IMPACT-410	HIST1H3F	Others
H3C8	ENSG00000273983	IMPACT-410	HIST1H3G	Others
H3C10	ENSG00000278828	IMPACT-410	HIST1H3H	Others
H3C11	ENSG00000275379	IMPACT-410	HIST1H3I	Others
H3C12	ENSG00000197153	IMPACT-410	HIST1H3J	Others
H3C14	ENSG00000203811	IMPACT-410	HIST2H3C	Others
H3C13	ENSG00000183598	IMPACT-410	HIST2H3D	Others
H3-4	ENSG00000168148	IMPACT-410	HIST3H3	Others
HLA-A	ENSG00000206503	IMPACT-410	HLA-A	Suppressor
HLA-B	ENSG00000234745	IMPACT-468	HLA-B	Suppressor
HNF1A	ENSG00000135100	IMPACT-341	HNF1A	Suppressor
HOXB13	ENSG00000159184	IMPACT-410	HOXB13	Others
HRAS	ENSG00000174775	IMPACT-341	HRAS	Oncogene
ICOSLG	ENSG00000160223	IMPACT-341	ICOSLG	Oncogene
ID3	ENSG00000117318	IMPACT-410	ID3	Suppressor
IDH1	ENSG00000138413	IMPACT-341	IDH1	Oncogene
IDH2	ENSG00000182054	IMPACT-341	IDH2	Oncogene
IFNGR1	ENSG00000027697	IMPACT-341	IFNGR1	Suppressor
IGF1	ENSG00000017427	IMPACT-341	IGF1	Oncogene
IGF1R	ENSG00000140443	IMPACT-341	IGF1R	Oncogene
IGF2	ENSG00000167244	IMPACT-341	IGF2	Oncogene
IKBKE	ENSG00000263528	IMPACT-341	IKBKE	Oncogene
IKZF1	ENSG00000185811	IMPACT-341	IKZF1	Others
IL10	ENSG00000136634	IMPACT-341	IL10	Others
IL7R	ENSG00000168685	IMPACT-341	IL7R	Oncogene
INHA	ENSG00000123999	IMPACT-410	INHA	Suppressor
INHBA	ENSG00000122641	IMPACT-410	INHBA	Others
INPP4A	ENSG00000040933	IMPACT-341	INPP4A	Others
INPP4B	ENSG00000109452	IMPACT-341	INPP4B	Suppressor
INPPL1	ENSG00000165458	IMPACT-468	INPPL1	Suppressor
INSR	ENSG00000171105	IMPACT-341	INSR	Oncogene
IRF4	ENSG00000137265	IMPACT-341	IRF4	Oncogene
IRS1	ENSG00000169047	IMPACT-341	IRS1	Oncogene
IRS2	ENSG00000185950	IMPACT-341	IRS2	Oncogene
JAK1	ENSG00000162434	IMPACT-341	JAK1	Others
JAK2	ENSG00000096968	IMPACT-341	JAK2	Oncogene
JAK3	ENSG00000105639	IMPACT-341	JAK3	Oncogene
JUN	ENSG00000177606	IMPACT-341	JUN	Oncogene
KDM5A	ENSG00000073614	IMPACT-341	KDM5A	Oncogene
KDM5C	ENSG00000126012	IMPACT-341	KDM5C	Suppressor
KDM6A	ENSG00000147050	IMPACT-341	KDM6A	Suppressor
KDR	ENSG00000128052	IMPACT-341	KDR	Oncogene
KEAP1	ENSG00000079999	IMPACT-341	KEAP1	Suppressor
KIT	ENSG00000157404	IMPACT-341	KIT	Oncogene
KLF4	ENSG00000136826	IMPACT-341	KLF4	Others
KMT2B	ENSG00000272333	IMPACT-468	KMT2B	Suppressor
KMT5A	ENSG00000183955	IMPACT-468	KMT5A	Others
KNSTRN	ENSG00000128944	IMPACT-468	KNSTRN	Others
KRAS	ENSG00000133703	IMPACT-341	KRAS	Oncogene
LATS1	ENSG00000131023	IMPACT-341	LATS1	Suppressor
LATS2	ENSG00000150457	IMPACT-341	LATS2	Suppressor
LMO1	ENSG00000166407	IMPACT-341	LMO1	Oncogene
LYN	ENSG00000254087	IMPACT-468	LYN	Oncogene
MALT1	ENSG00000172175	IMPACT-410	MALT1	Others
MAP2K1	ENSG00000169032	IMPACT-341	MAP2K1	Oncogene
MAP2K2	ENSG00000126934	IMPACT-341	MAP2K2	Oncogene
MAP2K4	ENSG00000065559	IMPACT-341	MAP2K4	Suppressor
MAP3K1	ENSG00000095015	IMPACT-341	MAP3K1	Suppressor
