Gene_name	Basic_transcript
RNY4P24	ENST00000362735
VPS36	ENST00000611132;ENST00000378060
AL359513.1	ENST00000614364
CKAP2	ENST00000378034;ENST00000378037;ENST00000258607;ENST00000490903
LINC00345	ENST00000647901
AL137058.1	ENST00000446689;ENST00000418237;ENST00000441562;ENST00000648493
AL137058.3	ENST00000624531
AL137058.2	ENST00000398039
MRPS31P4	ENST00000613769;ENST00000509685
HNRNPA1L2	ENST00000357495
AL139089.1	ENST00000620372
SUGT1	ENST00000343788;ENST00000310528
CNMD	ENST00000448904;ENST00000377962
MIR759	ENST00000390224
PPIAP26	ENST00000377951
PCDH8	ENST00000377942;ENST00000338862
OLFM4	ENST00000219022
LINC01065	ENST00000660057;ENST00000659074;ENST00000663896;ENST00000417989
AL136359.1	ENST00000625090
PCDH8P1	ENST00000428983
AL356295.1	ENST00000657016;ENST00000669059
RN7SL618P	ENST00000477850
AL450423.2	ENST00000653840
AL450423.1	ENST00000615176;ENST00000408063
ZNF646P1	ENST00000621811
LINC00558	ENST00000569422;ENST00000655355
LINC00458	ENST00000423442;ENST00000427299;ENST00000666992
AL356052.1	ENST00000605764
RPL13AP25	ENST00000484130
AL442636.1	ENST00000666524;ENST00000663979
AL512655.1	ENST00000584726;ENST00000664384
AL390964.1	ENST00000667562;ENST00000668021;ENST00000666253;ENST00000668473;ENST00000666476
LINC02335	ENST00000616578
MIR5007	ENST00000583098
AL354821.1	ENST00000617598
HNF4GP1	ENST00000430567
AL138997.1	ENST00000653315
SPATA2P1	ENST00000431223
RN7SKP6	ENST00000364795
PRR20A	ENST00000377931
PRR20C	ENST00000614894;ENST00000544357
PRR20B	ENST00000377930
PRR20D	ENST00000452123
PRR20E	ENST00000434815
PRR20FP	ENST00000603320
MTCO2P3	ENST00000442543
SLC25A5P4	ENST00000418448
RPL31P53	ENST00000457065
PCDH17	ENST00000377918
AL445288.1	ENST00000610846
RNA5SP30	ENST00000365552
LINC02338	ENST00000615202
LINC00374	ENST00000454780
AL161423.1	ENST00000613700
RNY4P29	ENST00000410801
CTAGE16P	ENST00000435601
DNAJA1P1	ENST00000425106
HMGN2P39	ENST00000398005
POLR3KP1	ENST00000449146
AL159156.1	ENST00000666115
RPP40P2	ENST00000603596
RNU7-88P	ENST00000458752
DIAPH3	ENST00000400324;ENST00000377908;ENST00000400319;ENST00000400320;ENST00000267215;ENST00000465066;ENST00000498416
DIAPH3-AS1	ENST00000671612;ENST00000435636
RN7SL375P	ENST00000492442
DIAPH3-AS2	ENST00000428656
RNY4P28	ENST00000365281
LINC00434	ENST00000423739
TARDBPP2	ENST00000448913
AL359920.1	ENST00000618332
TDRD3	ENST00000196169;ENST00000377894;ENST00000377881;ENST00000535286;ENST00000648252;ENST00000621840
AL354764.1	ENST00000390765
RNA5SP31	ENST00000411144
LINC00378	ENST00000669309;ENST00000654911;ENST00000658247;ENST00000656845
EIF4A1P6	ENST00000448133
AL161901.1	ENST00000624954
RNY3P5	ENST00000384127
RNY4P31	ENST00000517209
LINC01442	ENST00000662397;ENST00000618872
MIR3169	ENST00000578032
PCDH20	ENST00000409204
AL592490.1	ENST00000409186
LINC02339	ENST00000472649
AL596329.1	ENST00000390718
RAC1P8	ENST00000427086
AL353765.1	ENST00000605514
LINC00358	ENST00000662481;ENST00000432697
LINC01075	ENST00000455977
LINC01074	ENST00000422527
LINC00459	ENST00000431656
RPL32P28	ENST00000443577
AL356102.1	ENST00000622876
SQSTM1P1	ENST00000603451
AL445668.1	ENST00000671601
LINC00448	ENST00000667975
AL354810.1	ENST00000618134
LINC00376	ENST00000439454
AL359208.1	ENST00000666997;ENST00000656278;ENST00000670475
LINC00395	ENST00000444536;ENST00000451570
OR7E156P	ENST00000650614;ENST00000400303
AL445989.2	ENST00000649617
AL445989.1	ENST00000611641
RNU6-81P	ENST00000365608
PPP1R2P10	ENST00000393023
AL445238.2	ENST00000664518
AL445238.1	ENST00000648713
LINC00355	ENST00000650541;ENST00000456627
NFYAP1	ENST00000431953
LGMNP1	ENST00000441282
STARP1	ENST00000397973
HNRNPA3P5	ENST00000455201
AL354775.1	ENST00000408758
LINC01052	ENST00000437777;ENST00000665754
AL158038.1	ENST00000653765
MIR548X2	ENST00000579776
MIR4704	ENST00000581678
TRIM60P19	ENST00000452879
PCDH9	ENST00000377865;ENST00000544246;ENST00000456367;ENST00000377861
PCDH9-AS1	ENST00000430861
RNU7-87P	ENST00000459343
PCDH9-AS2	ENST00000419371
PCDH9-AS3	ENST00000434073
PCDH9-AS4	ENST00000456459
AL160254.1	ENST00000648561
RPSAP53	ENST00000433498
LINC00364	ENST00000656527
AL512452.1	ENST00000662515
BCRP9	ENST00000605312
NPM1P22	ENST00000427761
OR7E111P	ENST00000442229
OR7E33P	ENST00000437705
AL590027.1	ENST00000660570
ELL2P3	ENST00000457883
HNRNPA1P18	ENST00000433537
RPL37P21	ENST00000435890
RPS3AP52	ENST00000435639
RPL12P34	ENST00000424532
RN7SL761P	ENST00000463259
LINC00550	ENST00000629293
LINC02342	ENST00000627910
ZDHHC20P4	ENST00000411421
SNRPFP3	ENST00000457792
LINC00383	ENST00000657223;ENST00000648574
SRSF1P1	ENST00000424058
KLHL1	ENST00000545028;ENST00000377844
RNY3P10	ENST00000384764
PSMC1P13	ENST00000458195
ATXN8OS	ENST00000414504;ENST00000665905;ENST00000660386
AL160391.1	ENST00000673087
RNU6-54P	ENST00000365563
AL445264.1	ENST00000621719
MTCL1P1	ENST00000446207
LINC00348	ENST00000659244;ENST00000671240
RABEPKP1	ENST00000440529
DACH1	ENST00000611519;ENST00000620444;ENST00000613252;ENST00000619232
H3P36	ENST00000440551
RPL21P109	ENST00000422213
RPL35AP31	ENST00000418340
RPS10P21	ENST00000430654
RNA5SP32	ENST00000363167
SNORD37	ENST00000391075;ENST00000390968;ENST00000384048
RPL18AP17	ENST00000455326
RPL21P110	ENST00000433345
RNU6-80P	ENST00000384195
MZT1	ENST00000377818
BORA	ENST00000652266;ENST00000651477;ENST00000613797;ENST00000390667
DIS3	ENST00000377767;ENST00000377780;ENST00000545453
PIBF1	ENST00000326291;ENST00000617689;ENST00000615625
AL391384.1	ENST00000408054
RNU6-79P	ENST00000362511
PSMD10P3	ENST00000437000
KLF5	ENST00000539231;ENST00000377687
FABP5P1	ENST00000423401
RNU6-66P	ENST00000363397
AL354720.1	ENST00000581553
RNU4-10P	ENST00000364383
RNY1P8	ENST00000383970
AL162376.1	ENST00000624117
MARK2P12	ENST00000420129
LINC00393	ENST00000649189;ENST00000648903;ENST00000649254
LINC00392	ENST00000660666
KLF12	ENST00000377669
AL138713.1	ENST00000624026
AL159972.1	ENST00000625150
LINC00402	ENST00000419499
AL353660.1	ENST00000653992
RNY1P5	ENST00000383890
RPL21P108	ENST00000413857
AL355390.1	ENST00000325811
LINC00381	ENST00000649990
AL355390.2	ENST00000446691
LINC00347	ENST00000594461;ENST00000597518
RIOK3P1	ENST00000418778
RNU6-38P	ENST00000384085
SSR1P2	ENST00000415208
AL162571.1	ENST00000579276
CTAGE11P	ENST00000451540
LINC01078	ENST00000434832
TBC1D4	ENST00000648194;ENST00000377636;ENST00000377625;ENST00000431480
AL139230.1	ENST00000440094
COMMD6	ENST00000406936;ENST00000377615;ENST00000377619;ENST00000355801;ENST00000626103
UCHL3	ENST00000618773;ENST00000377595
AL137782.1	ENST00000563635;ENST00000570285
LMO7-AS1	ENST00000568735;ENST00000667896
LMO7	ENST00000357063;ENST00000341547;ENST00000377534;ENST00000321797;ENST00000526202;ENST00000465261
AL137244.1	ENST00000422931
FAM204CP	ENST00000424489
LMO7DN	ENST00000318245
LMO7DN-IT1	ENST00000436872
LINC00561	ENST00000565815
LINC01034	ENST00000448806
RN7SL571P	ENST00000468302
AL136441.1	ENST00000648060;ENST00000653636
AL161717.1	ENST00000664628
AL365394.1	ENST00000646457
KCTD12	ENST00000377474
AC000403.1	ENST00000579275;ENST00000613696
BTF3P11	ENST00000426582
ACOD1	ENST00000377462;ENST00000449753
RPL7P44	ENST00000424827
DHX9P1	ENST00000436565
CLN5	ENST00000636183;ENST00000636780;ENST00000485938;ENST00000637537;ENST00000377453;ENST00000637397;ENST00000616833;ENST00000636525;ENST00000636767
FBXL3	ENST00000355619
MYCBP2-AS1	ENST00000636737;ENST00000422231;ENST00000450627;ENST00000448470;ENST00000631152
AC001226.1	ENST00000620512
MYCBP2	ENST00000544440;ENST00000357337;ENST00000612956
MYCBP2-AS2	ENST00000428716
AL159158.1	ENST00000649088
SCEL	ENST00000535157;ENST00000349847;ENST00000377246
AL137140.1	ENST00000654937
SCEL-AS1	ENST00000456280
RNY3P7	ENST00000384073
SPTLC1P5	ENST00000450718
AL450447.1	ENST00000648764
SLAIN1	ENST00000418532;ENST00000466548;ENST00000488699;ENST00000267219;ENST00000314070;ENST00000351546;ENST00000358679
MIR3665	ENST00000578708
EDNRB-AS1	ENST00000667150
EDNRB	ENST00000377211;ENST00000646948;ENST00000646607;ENST00000646605;ENST00000626030;ENST00000475537;ENST00000643890
OBI1-AS1	ENST00000607862;ENST00000605996;ENST00000606429;ENST00000607860;ENST00000444769
AL139002.1	ENST00000435281
RN7SL810P	ENST00000493031
LINC01069	ENST00000662574;ENST00000452933
LINC00446	ENST00000659347;ENST00000414743
AL138957.1	ENST00000435156
SRGNP1	ENST00000603392
RNY3P3	ENST00000363816
RPL31P54	ENST00000429803
ELOCP23	ENST00000452014
AL445209.1	ENST00000607269
POU4F1	ENST00000377208
OBI1	ENST00000282003
AL139319.1	ENST00000580901
RPL21P111	ENST00000418453
LINC00331	ENST00000671423;ENST00000658469
HSPD1P8	ENST00000400121
CCT5P2	ENST00000432974
NIPA2P5	ENST00000452282
BCAS2P3	ENST00000416374
RBM26	ENST00000438724;ENST00000622611;ENST00000267229;ENST00000438737
RNA5SP33	ENST00000516687
RBM26-AS1	ENST00000654024;ENST00000656024;ENST00000664699;ENST00000606049
NDFIP2-AS1	ENST00000457171
NDFIP2	ENST00000612570;ENST00000218652;ENST00000487865;ENST00000620924
LINC01068	ENST00000661483;ENST00000620874
AL136442.1	ENST00000648202
LINC01038	ENST00000457858
LINC00382	ENST00000663622
AL158064.1	ENST00000648514;ENST00000639897;ENST00000640346
LINC01080	ENST00000627044
AL137781.1	ENST00000647704
SPRY2	ENST00000377102;ENST00000377104
RNU6-61P	ENST00000365528
HNRNPA1P31	ENST00000448627
PWWP2AP1	ENST00000429776
AL590807.1	ENST00000665186;ENST00000669091;ENST00000655229;ENST00000654491
ARF4P4	ENST00000439608
LINC00377	ENST00000663284
DPPA3P3	ENST00000603842
AL354806.1	ENST00000401112
LINC00564	ENST00000567258
AL353633.1	ENST00000458480
RNU6-77P	ENST00000410554
HIGD1AP2	ENST00000446367
PTMAP5	ENST00000607242;ENST00000393073
AL445255.1	ENST00000663739
GYG1P2	ENST00000426437
AL512782.1	ENST00000603093
RNU6-67P	ENST00000410859
AL353688.1	ENST00000657985
SLITRK1	ENST00000377084;ENST00000674365
AL355481.1	ENST00000667130;ENST00000649183
VENTXP2	ENST00000399480
AL590681.1	ENST00000670170
UBE2D3P4	ENST00000441973
AL445604.1	ENST00000650504
AL162493.1	ENST00000653443
MTND4P1	ENST00000457501
MTND5P3	ENST00000438536
LINC00333	ENST00000446314
AL445588.1	ENST00000656194
AL356313.1	ENST00000668831
LINC00375	ENST00000433074
AL160154.1	ENST00000656022
LINC00351	ENST00000424926;ENST00000655792
RNU6-72P	ENST00000384285
AL356413.1	ENST00000647840
SLITRK6	ENST00000647374;ENST00000643778
AL162373.1	ENST00000620433
MOB1AP1	ENST00000430903
AL354994.1	ENST00000445967
DDX6P2	ENST00000619520
AL445207.1	ENST00000666285
TXNL1P1	ENST00000429528
LINC00430	ENST00000457672
UBBP5	ENST00000446970
LIN28AP2	ENST00000445283
AL360267.2	ENST00000647785
AL360267.1	ENST00000607309
MIR4500HG	ENST00000436290;ENST00000658012;ENST00000668695;ENST00000441617;ENST00000658270;ENST00000660424;ENST00000656584
AL355578.1	ENST00000607405
MIR4500	ENST00000579472
SLITRK5	ENST00000325089
AL445647.2	ENST00000615170
LINC00397	ENST00000422074;ENST00000606785
AL445647.1	ENST00000606221
TET1P1	ENST00000426627
LINC00373	ENST00000430214
AL354896.1	ENST00000411127
RPL29P29	ENST00000448725
AL355677.1	ENST00000649072
LINC00433	ENST00000658219;ENST00000653293
AL445984.2	ENST00000662407
AL445984.1	ENST00000637834
LINC00560	ENST00000564593
GRPEL2P1	ENST00000453145
AL162573.1	ENST00000661729
LINC00440	ENST00000653072;ENST00000446579
LINC01047	ENST00000415193
TRIM60P13	ENST00000432350
SP3P	ENST00000414049
LINC02336	ENST00000659314;ENST00000670662
LINC01040	ENST00000425048
LINC00353	ENST00000435401
RPL7L1P1	ENST00000448259
PEX12P1	ENST00000400284
LINC00559	ENST00000569476;ENST00000647679
RNA5SP34	ENST00000516887
FAR1P1	ENST00000427163
KRT18P27	ENST00000427733
MIR622	ENST00000385123
LINC01049	ENST00000426840
RNU6-75P	ENST00000515944
LINC00410	ENST00000419272
BRK1P2	ENST00000442875
LINC00380	ENST00000442478
LINC00379	ENST00000438789
PPIAP23	ENST00000420099
MIR17HG	ENST00000400282;ENST00000581816;ENST00000659898
GPC5	ENST00000377067;ENST00000618596
AL356118.1	ENST00000635272
AL162456.1	ENST00000634535
RNU4ATAC3P	ENST00000516699
FABP5P4	ENST00000437203
AL157815.1	ENST00000635484
GPC5-AS2	ENST00000656007
AL159152.1	ENST00000635019
GPC5-IT1	ENST00000416664
MIR548AS	ENST00000579177
AL356737.2	ENST00000662499
AL356737.1	ENST00000634391
GPC5-AS1	ENST00000419288
LINC00363	ENST00000660073
AL354811.2	ENST00000658522
AL354811.1	ENST00000610286
GPC6	ENST00000377047;ENST00000617456
AL160159.1	ENST00000657026
SNORD22	ENST00000516556
HNRNPA1P29	ENST00000426409
GPC6-AS2	ENST00000445540
RNA5SP35	ENST00000391257
GPC6-AS1	ENST00000436329
DCT	ENST00000377028;ENST00000446125
AL139318.1	ENST00000390768
TGDS	ENST00000261296
GPR180	ENST00000376958
RNA5SP36	ENST00000410197
LINC00391	ENST00000670861;ENST00000433569
RN7SL585P	ENST00000470538
SOX21-AS1	ENST00000665450;ENST00000438290
SOX21	ENST00000376945
BRD7P5	ENST00000299197
RPL21P112	ENST00000434403
LINC00557	ENST00000563184
AL139381.1	ENST00000669430
RNU6-62P	ENST00000516526
ABCC4	ENST00000645237;ENST00000646439;ENST00000536256;ENST00000629385
RNY3P8	ENST00000411366
RNY4P27	ENST00000363341
MEMO1P5	ENST00000604810
CLDN10	ENST00000376873;ENST00000299339;ENST00000376855
CLDN10-AS1	ENST00000416909
DZIP1	ENST00000361396;ENST00000347108;ENST00000361156;ENST00000376829
DNAJC3-DT	ENST00000662244;ENST00000671463
DNAJC3	ENST00000602402;ENST00000376795
MTND5P2	ENST00000442927
MTND6P18	ENST00000439477
MTCYBP3	ENST00000445588
AL138955.1	ENST00000622881
UGGT2	ENST00000376747;ENST00000376714;ENST00000397618;ENST00000376712;ENST00000638479;ENST00000621375
HMGN1P24	ENST00000412282
HS6ST3	ENST00000376705;ENST00000620595
RN7SL164P	ENST00000482613
AMMECR1LP1	ENST00000415152
HSP90AB6P	ENST00000426420
TULP3P1	ENST00000442322;ENST00000606237;ENST00000453253
AL353581.1	ENST00000606916
RN7SKP7	ENST00000410540
OXGR1	ENST00000298440;ENST00000543457
LINC00456	ENST00000657031
MBNL2	ENST00000397601;ENST00000343600;ENST00000376673;ENST00000345429
AL161430.1	ENST00000665007
RNA5SP37	ENST00000365420
AL442067.3	ENST00000659310
RAP2A	ENST00000245304
AL442067.1	ENST00000613261
AL442067.2	ENST00000614033
PSMA6P4	ENST00000603247
AL359502.1	ENST00000437334
AL359502.2	ENST00000665508
RPL7AP61	ENST00000443410
AL356580.1	ENST00000604129
IPO5	ENST00000261574;ENST00000651721;ENST00000357602;ENST00000631030;ENST00000490680
FTLP8	ENST00000446770
FARP1	ENST00000595437;ENST00000319562;ENST00000627049;ENST00000596580;ENST00000376581
RNF113B	ENST00000267291
RN7SKP8	ENST00000411037
MIR3170	ENST00000582699
AL445223.1	ENST00000595998
AL161896.1	ENST00000597248
FARP1-AS1	ENST00000432229
STK24	ENST00000539966;ENST00000397517;ENST00000376547
AL356423.1	ENST00000604953
STK24-AS1	ENST00000434547
NUS1P4	ENST00000401550
CYCSP35	ENST00000451978
CALM2P4	ENST00000430810
RN7SL60P	ENST00000476209
SLC15A1	ENST00000376503
DOCK9	ENST00000448493;ENST00000376460;ENST00000442173;ENST00000652315;ENST00000627024;ENST00000427887
DOCK9-AS1	ENST00000439367
AL161420.1	ENST00000619393
RPL7L1P12	ENST00000417594
RNU6-83P	ENST00000384568
DOCK9-DT	ENST00000562781
RPS6P23	ENST00000413224
UBAC2-AS1	ENST00000671580;ENST00000426037
GAPDHP22	ENST00000491037
UBAC2	ENST00000403766;ENST00000376440
RN7SKP9	ENST00000364923
H2AZP3	ENST00000394213
GPR18	ENST00000397473;ENST00000397470;ENST00000340807
GPR183	ENST00000376414
MIR623	ENST00000384986
HMGB3P4	ENST00000428776
CCR12P	ENST00000642991;ENST00000446203
AL136961.1	ENST00000646895
TM9SF2	ENST00000642475;ENST00000376387
AL583784.1	ENST00000582220
LINC01232	ENST00000630421;ENST00000626729;ENST00000656995;ENST00000625369;ENST00000625254
AL139035.1	ENST00000626308
LINC00449	ENST00000366259
RNY3P6	ENST00000390895
LINC01039	ENST00000437113
CFL1P8	ENST00000436148
AL139035.2	ENST00000654441
CLYBL	ENST00000376355;ENST00000376354;ENST00000339105
MIR4306	ENST00000583390
CLYBL-AS2	ENST00000430125
CLYBL-AS1	ENST00000670609
AL137139.3	ENST00000670400
AL137139.2	ENST00000670575;ENST00000659729;ENST00000671519
ZIC5	ENST00000267294
AL355338.1	ENST00000653776
ZIC2	ENST00000376335
LINC00554	ENST00000564841
NDUFA12P1	ENST00000455914
PCCA-DT	ENST00000654763;ENST00000612598
ASNSP3	ENST00000451989
PCCA	ENST00000376286;ENST00000376279;ENST00000376285
RPL15P18	ENST00000432924
AL356575.1	ENST00000603008
AL353697.1	ENST00000654085
PCCA-AS1	ENST00000451662;ENST00000455958
GGACT	ENST00000455100;ENST00000376250
AL356966.1	ENST00000454752
AL136526.1	ENST00000624456
RPS26P47	ENST00000427219
TMTC4	ENST00000376234;ENST00000342624;ENST00000328767
COX5BP6	ENST00000454311
NALCN-AS1	ENST00000457843
ARF4P3	ENST00000397387
LINC00411	ENST00000667834
NALCN	ENST00000251127;ENST00000376200
ITGBL1	ENST00000618057;ENST00000622834;ENST00000545560;ENST00000376180;ENST00000376162
FGF14	ENST00000376131;ENST00000376143
AL160153.1	ENST00000415285
RNU1-24P	ENST00000364285
HMGB3P7	ENST00000400214
MIR2681	ENST00000581814
LIPT1P1	ENST00000415870
RNY1P2	ENST00000364820
MIR4705	ENST00000577547
RPL39P29	ENST00000447779
FGF14-IT1	ENST00000607251
AL356266.1	ENST00000623311
FGF14-AS1	ENST00000444686;ENST00000451630
FGF14-AS2	ENST00000606448
LINC00555	ENST00000569288
AL158063.1	ENST00000615349
TPP2	ENST00000376052;ENST00000376065;ENST00000652308
RP11-29B2.5	ENST00000602560
METTL21C	ENST00000267273
CCDC168	ENST00000322527
LINC00283	ENST00000430111
AL157769.1	ENST00000660220
TEX30	ENST00000376032;ENST00000376027;ENST00000376019;ENST00000376022;ENST00000376021;ENST00000376029
POGLUT2	ENST00000376004
BIVM-ERCC5	ENST00000639435;ENST00000639132
BIVM	ENST00000651949;ENST00000651008;ENST00000257336;ENST00000448849;ENST00000651228;ENST00000652084
ERCC5	ENST00000602836;ENST00000535557;ENST00000652613;ENST00000652225
RNY5P8	ENST00000410369
METTL21EP	ENST00000605100;ENST00000298105
AL137246.1	ENST00000607072
AL137246.2	ENST00000613439
SLC10A2	ENST00000245312
AL162717.1	ENST00000648788
LINC01309	ENST00000667000
ATP6V1G1P7	ENST00000415853
AL136524.1	ENST00000670156
RPL7P45	ENST00000455851
AL138954.1	ENST00000652772
DAOA-AS1	ENST00000448407
DAOA	ENST00000375936;ENST00000329625;ENST00000595812;ENST00000618629
AL359745.1	ENST00000626943
LINC00343	ENST00000671060;ENST00000670771;ENST00000665747;ENST00000661817;ENST00000654132;ENST00000669655;ENST00000663969;ENST00000669840;ENST00000670429;ENST00000658151;ENST00000667534
AL138701.2	ENST00000657278
AL603632.1	ENST00000410711
RNA5SP38	ENST00000410750
AL139379.1	ENST00000669705
LINC00460	ENST00000642946;ENST00000647525
RPL35P9	ENST00000446059
EFNB2	ENST00000646441
AL138689.2	ENST00000649449;ENST00000646480
AL138689.1	ENST00000614612
ARGLU1	ENST00000400198
LINC00551	ENST00000665026;ENST00000663663;ENST00000607593
LINC00443	ENST00000421601;ENST00000664222
ATP5MC1P5	ENST00000429024
AL163534.1	ENST00000664543
AL162574.2	ENST00000614618
PPIAP24	ENST00000328558
AL162574.1	ENST00000615702
AL162574.3	ENST00000623209
AL354741.1	ENST00000648448;ENST00000459108
AL445204.1	ENST00000408389
FAM155A	ENST00000375915
SNORD31	ENST00000364977
AL445649.1	ENST00000615941
MIR1267	ENST00000408723
AL138710.1	ENST00000408546
FAM155A-IT1	ENST00000449551
AL359436.1	ENST00000663056
AL136964.1	ENST00000622038
LIG4	ENST00000442234;ENST00000611712;ENST00000405925;ENST00000356922;ENST00000614526
ABHD13	ENST00000375898
TNFSF13B	ENST00000430559;ENST00000375887;ENST00000542136
AL157762.1	ENST00000619612
RNA5SP39	ENST00000411245
AL138694.1	ENST00000637731;ENST00000636252
HCFC2P1	ENST00000392864
MYO16	ENST00000356711;ENST00000251041;ENST00000457511
MYO16-AS2	ENST00000412809
MYO16-AS1	ENST00000439299
AL161431.1	ENST00000618966;ENST00000649017
LINC00370	ENST00000648154
LINC01067	ENST00000432575
LINC00399	ENST00000439008
AL163541.1	ENST00000650264
LINC00676	ENST00000416090
IRS2	ENST00000375856
AL162497.1	ENST00000615635
AL355810.1	ENST00000614629
RN7SKP10	ENST00000364291
AL355974.1	ENST00000618896
AL390755.1	ENST00000614099;ENST00000654209;ENST00000657447;ENST00000654849
AL355974.2	ENST00000617383
LINC00396	ENST00000411690
RN7SL783P	ENST00000577950
AL390755.2	ENST00000623716
AL390755.3	ENST00000671547
COL4A1	ENST00000375820;ENST00000543140
AL161773.1	ENST00000624845
COL4A2	ENST00000649101;ENST00000360467;ENST00000650540
COL4A2-AS2	ENST00000458403
COL4A2-AS1	ENST00000417970
RAB20	ENST00000267328
AL139385.1	ENST00000611744
NAXD	ENST00000424185;ENST00000309957
CARS2	ENST00000257347
ING1	ENST00000338450;ENST00000375775;ENST00000333219;ENST00000375774
RPL21P107	ENST00000411449
LINC00567	ENST00000569854
LINC00346	ENST00000538077
ANKRD10	ENST00000267339;ENST00000310847
ANKRD10-IT1	ENST00000426991
AL442128.2	ENST00000620246
PARP1P1	ENST00000413631
AL442128.1	ENST00000652145;ENST00000615151
LINC00431	ENST00000440735;ENST00000636375
LINC00368	ENST00000422994
AL353704.2	ENST00000664746
ARHGEF7-AS2	ENST00000425094
ARHGEF7	ENST00000317133;ENST00000375739;ENST00000375741;ENST00000646102;ENST00000218789;ENST00000375736;ENST00000426073;ENST00000375723;ENST00000478679
ARHGEF7-IT1	ENST00000423329
ARHGEF7-AS1	ENST00000435037
AL353704.1	ENST00000650324
AL390754.1	ENST00000619088
TEX29	ENST00000283547
AL359649.1	ENST00000607406;ENST00000375713
LINC02337	ENST00000401043
LINC00354	ENST00000662993;ENST00000670855;ENST00000661311
AL136302.1	ENST00000578654
SNORD44	ENST00000363202
SOX1-OT	ENST00000663025;ENST00000657728
SOX1	ENST00000330949
AL356961.1	ENST00000567967
LINC00404	ENST00000418660
LINC01070	ENST00000561786;ENST00000668240
LINC01043	ENST00000565936
LINC01044	ENST00000413637
SPACA7	ENST00000283550;ENST00000375699
TUBGCP3	ENST00000261965;ENST00000375669;ENST00000464139
AL139384.2	ENST00000613809
ATP11AUN	ENST00000623100
AL139384.1	ENST00000612143
ATP11A	ENST00000487903;ENST00000375645;ENST00000375630
AL162711.1	ENST00000582601
ATP11A-AS1	ENST00000446442
AL356752.1	ENST00000615844
MCF2L	ENST00000375608;ENST00000397036;ENST00000397030;ENST00000535094;ENST00000421756;ENST00000375604;ENST00000375597;ENST00000397024;ENST00000397021
AL356740.1	ENST00000602192
MCF2L-AS1	ENST00000446789
AL356740.2	ENST00000601559
AL356740.3	ENST00000598534
F7	ENST00000541084;ENST00000346342;ENST00000375581
F10	ENST00000375559;ENST00000409306;ENST00000375551
F10-AS1	ENST00000424635
KARS1P2	ENST00000415696
AL137002.2	ENST00000639766
PROZ	ENST00000375547;ENST00000342783
AL137002.1	ENST00000600642
PCID2	ENST00000337344;ENST00000622406;ENST00000375477;ENST00000375479;ENST00000375459;ENST00000246505;ENST00000375457
CUL4A	ENST00000375441;ENST00000326335;ENST00000451881;ENST00000617546;ENST00000488558;ENST00000375440
LDHBP1	ENST00000455730
LAMP1	ENST00000332556
GRTP1	ENST00000375431;ENST00000620217;ENST00000375430;ENST00000326039
AL136221.1	ENST00000621449
GRTP1-AS1	ENST00000669000
ADPRHL1	ENST00000612156;ENST00000356501;ENST00000375418
DCUN1D2	ENST00000332592;ENST00000478244
DCUN1D2-AS	ENST00000414992
RNU1-16P	ENST00000365477
TMCO3	ENST00000434316;ENST00000375391;ENST00000474393
AL442125.2	ENST00000619338
AL442125.1	ENST00000619092
TFDP1	ENST00000375370
ATP4B	ENST00000335288
GRK1	ENST00000335678;ENST00000545304
LINC00552	ENST00000625151
TMEM255B	ENST00000375353;ENST00000488362
GAS6-AS1	ENST00000458001
GAS6	ENST00000327773
GAS6-DT	ENST00000669254;ENST00000655351
BX072579.1	ENST00000648342
LINC00454	ENST00000430978;ENST00000661456;ENST00000671045
BX072579.2	ENST00000657154
LINC00452	ENST00000609661;ENST00000426859
LINC00565	ENST00000562710
RASA3	ENST00000334062
RASA3-IT1	ENST00000454005
CFAP97D2	ENST00000635901;ENST00000646158;ENST00000636692
AL160396.1	ENST00000637433
CDC16	ENST00000360383;ENST00000628084;ENST00000356221;ENST00000375310;ENST00000252457;ENST00000375308;ENST00000252458
MIR548AR	ENST00000582191
MIR4502	ENST00000580432
AL160396.2	ENST00000649577
UPF3A	ENST00000375299;ENST00000492270;ENST00000351487
CLCP2	ENST00000392050
CHAMP1	ENST00000361283;ENST00000643483
LINC01054	ENST00000446989
CR383658.1	ENST00000514609
RNU6-458P	ENST00000384179
AP000542.3	ENST00000623391
AP000542.2	ENST00000623199
CR383658.2	ENST00000547576
BNIP3P6	ENST00000549284
CR383657.1	ENST00000459523
CR383656.10	ENST00000552261
CR383656.7	ENST00000549046
CR383656.13	ENST00000551951
CR383656.9	ENST00000548131
OR11H12	ENST00000550708
CR383656.6	ENST00000548164
ARHGAP42P5	ENST00000548856
LINC02297	ENST00000548050
CR383656.5	ENST00000550518
CR383656.1	ENST00000548656
CR383656.12	ENST00000550928
CR383656.8	ENST00000546860
CR383656.11	ENST00000549567
CR383656.3	ENST00000546909
RPL22P20	ENST00000484916
CR383656.4	ENST00000547616
AL512624.1	ENST00000613638
CR383656.2	ENST00000551315
NF1P10	ENST00000613227
NF1P7	ENST00000612076
MED15P1	ENST00000620166
AL929601.1	ENST00000551565;ENST00000551067
AL929601.2	ENST00000549951
POTEM	ENST00000547889
AL929601.3	ENST00000613990
RNU6-1239P	ENST00000391310
AL589182.1	ENST00000611785;ENST00000548416
DUXAP9	ENST00000549484;ENST00000644980;ENST00000622815
AL589182.3	ENST00000658629
BMS1P17	ENST00000550512
AL589743.5	ENST00000646225;ENST00000645684
