Gene_name	Basic_transcript
MIR4252	ENST00000585139
AL031848.1	ENST00000419034
TNFRSF25	ENST00000377782;ENST00000356876;ENST00000351959;ENST00000351748;ENST00000348333
PLEKHG5	ENST00000535355;ENST00000400913;ENST00000340850;ENST00000537245;ENST00000377748;ENST00000673471;ENST00000377725;ENST00000377728;ENST00000377732;ENST00000400915;ENST00000377740
NOL9	ENST00000377705
RNU6-731P	ENST00000517213
AL591866.1	ENST00000456162
TAS1R1	ENST00000333172;ENST00000351136
ZBTB48	ENST00000377674
KLHL21	ENST00000377658;ENST00000377663;ENST00000467612;ENST00000610898;ENST00000463043
PHF13	ENST00000377648
THAP3	ENST00000054650;ENST00000307896;ENST00000377627
DNAJC11	ENST00000377577;ENST00000294401
LINC01672	ENST00000432429;ENST00000421469
